primary_vendor_name,Frequency,Jarak Inbound
PT Aladdin Sarana Indonesia,1,7
PT DINAMIS ARTHA SUKSES,1,7
PT SUMBER PRIMA ANUGRAH ABADI,1,7
PT. ANUGERAH BOGA FROZINDO,1,7
PT TEKNOLOGI NUTRIMEN SEHAT,1,7
PT JAYA SEGAR ABADI,1,7
Walls,1,7
PT Artaboga Cemerlang,1,7
PT YAMAZAKI INDONESIA,1,7
PT FLOAT OAT INDONESIA,1,7
PT SARANA ABADI MAKMUR BERSAMA,1,7
PT Macrosentra Niagaboga,1,7
PT Sukanda Djaya,1,7
Mondelez,1,7
PT Tirta Investama,3,3
Acaii Tea,1,7
PT. Sari Murni Abadi,1,7
PT Ultrajaya Milk Industry & Trading Company Tbk,1,7
PT Pandurasa Kharisma,1,7
Leo - Hyokuna,1,7
BELFOODS INDONESIA PT,1,7
CV INDOKOPI MAKMUR SENTOSA,1,7
GARUDA TIMUR PACIFIC PT (DIST PRCHIZ),1,7
PT Libra Lestari Industrial (jollytime),1,7
PT Frisian Flag Indonesia,1,7
PT SEBAR KEBAIKAN BERSAMA,1,7
PT Niramas Utama,1,7
PT Greenfields Dairy Indonesia,1,7
PT Greenfields Indonesia,1,7
PT Prambanan Kencana,1,7
PT COCA COLA DISTRIBUTION INDONESIA,2,4
PT Arum Nirwana Global (Laverland),1,7
PT Kurniamitra Duta Sentosa,1,7
PT Adna Sentral Niaga,1,7
PT SAYAP MAS UTAMA (MARUNDA DISTRIBUSINDO RAYA),1,7
PT Nirwana Lestari,1,7
PT INDOSARI NIAGA NUSANTARA (ROTI),1,7
PT Masuya Graha Trikencana,1,7
Kacang Kapri Tari Bali,1,7
FKS Mart,1,7
PT Pangan Kreasi Makmur,1,7
PT. Gonusa Prima Distribusi,1,7
PT Metta Sinar Sejahtera,1,7
PT Sinar Kencana Agung,1,7
PT ANUGRAH JAYA USAHA,1,7
PT Jenindo Prakarsa,1,7
Garuda Food,1,7
Mondemart,1,7
PT. ASTAGUNA WISESA,1,7
PT Cahaya Maju Bersama,1,7
PT Primarasa Abadi Sejahtera,1,7
PT ARNOTTS INDONESIA,1,7
PT. ES HUPINDO,1,7
PT PASARNOW DISTRIBUSI DIGITAL,1,7
PT Ramasurya Perkasa Distrindo,1,7
Otsuka,1,7
PT UNIRAMA DUTA NIAGA,1,7
PT Sinar Sosro,1,7
Dima Group,1,7
PT Otri Technology,2,4
SENTRALSARI PRIMASENTOSA PT,1,7
PT Ito En Ultrajaya,1,7
PT AMIDIS TIRTA MULIA,1,7
PT. PUTRA PERDANA SENTOSA,1,7
PT Mahkota Anugerah Energi,1,7
Heavenly Blush,1,7
PT CS2 POLA SEHAT,1,7
YUMMY FOOD UTAMA PT,1,7
PT RUMAH BAHAGIA SEJAHTERA,1,7
Jaya Muda Sinergi Distributor,1,7
CV Kreasi Pangan Global,1,7
PT MADUSARI NUSAPERDANA,1,7
Cedea,1,7
CV Fermanto Bevfoods,1,7
PT Triorganik Indonesia Sehati,1,7
PT Fastrata Buana,1,7
PT LADANG SEHAT INDONESIA,1,7
PT BIONIC NATURA,1,7
PT Granova Prima Lestari,1,7
PT Nutrisi Harapan Bangsa,1,7
Sodachips,0.25,28
